estacion_id,nombre_estacion,provincia,comunidad,tipo,fecha_apertura
42,Aurora Las Palmas 03,Las Palmas,Canarias,gasolinera,2020-06-14
43,Aurora Las Palmas 04,Las Palmas,Canarias,gasolinera,2023-08-09
44,Aurora Las Palmas 05,Las Palmas,Canarias,multi,2019-02-22
45,Aurora Palma 01,Palma,Islas Baleares,multi,2019-12-04
46,Aurora Palma 02,Palma,Islas Baleares,gasolinera,2019-01-24
47,Aurora Palma 03,Palma,Islas Baleares,gasolinera,2022-05-11
48,Aurora Palma 04,Palma,Islas Baleares,ev_charger,2019-06-29
49,Aurora Palma 05,Palma,Islas Baleares,gasolinera,2021-07-26
50,Aurora Palma 06,Palma,Islas Baleares,multi,2023-05-29
51,Aurora Valladolid 01,Valladolid,Castilla y León,gasolinera,2023-01-13
52,Aurora Valladolid 02,Valladolid,Castilla y León,gasolinera,2020-08-10
53,Aurora Vigo 01,Vigo,Galicia,gasolinera,2018-02-24
54,Aurora Vigo 02,Vigo,Galicia,gasolinera,2019-05-24
55,Aurora Vigo 03,Vigo,Galicia,gasolinera,2022-10-22
56,Aurora Vigo 04,Vigo,Galicia,multi,2018-11-22
57,Aurora Vigo 05,Vigo,Galicia,gasolinera,2022-03-15
58,Aurora Vigo 06,Vigo,Galicia,gasolinera,2020-04-07
59,Aurora Alicante 01,Alicante,Comunidad Valenciana,gasolinera,2018-06-05
60,Aurora Alicante 02,Alicante,Comunidad Valenciana,gasolinera,2022-12-23
61,Aurora Alicante 03,Alicante,Comunidad Valenciana,ev_charger,2021-09-08
62,Aurora Cádiz 01,Cádiz,Andalucía,gasolinera,2018-06-12
63,Aurora Cádiz 02,Cádiz,Andalucía,gasolinera,2022-08-27
64,Aurora Cádiz 03,Cádiz,Andalucía,ev_charger,2021-03-27
65,Aurora Córdoba 01,Córdoba,Andalucía,gasolinera,2021-09-18
66,Aurora Córdoba 02,Córdoba,Andalucía,gasolinera,2020-04-23
67,Aurora Toledo 01,Toledo,Castilla-La Mancha,gasolinera,2020-10-14
68,Aurora Toledo 02,Toledo,Castilla-La Mancha,multi,2020-06-30
69,Aurora Toledo 03,Toledo,Castilla-La Mancha,ev_charger,2022-04-12
70,Aurora Toledo 04,Toledo,Castilla-La Mancha,gasolinera,2020-01-22
71,Aurora Toledo 05,Toledo,Castilla-La Mancha,gasolinera,2018-01-25
72,Aurora Toledo 06,Toledo,Castilla-La Mancha,gasolinera,2023-07-07
