transaccion_id,fecha_venta,cliente_id,producto_id,estacion_id,cantidad,precio_unitario,importe,canal
37,2024-09-05 22:00:14,669,7,36,19.46,0.5287,10.29,pos
38,2024-07-10 05:25:48,1095,11,63,1.0,23.0403,23.04,pos
39,2024-12-13 16:06:01,1231,2,44,35.74,1.7488,62.5,app
40,2025-08-15 20:57:43,1151,7,30,19.62,0.5162,10.13,pos
41,2024-05-18 11:21:31,1213,4,15,46.51,1.5234,70.85,pos
42,2025-08-13 14:42:03,4,5,8,6.72,1.0454,7.03,pos
43,2025-10-20 04:37:29,748,11,17,3.0,22.5764,67.73,pos
44,2024-06-14 13:48:40,1103,8,41,8.62,1.285,11.08,app
45,2026-02-15 11:06:44,302,10,37,1.0,25.9882,25.99,app
46,2024-02-23 08:25:55,633,9,16,11.84,1.0028,11.87,pos
47,2024-12-01 02:04:03,1443,7,8,59.02,0.5353,31.59,app
48,2024-11-23 04:13:29,461,12,7,1.0,4.7569,4.76,app
49,2025-04-09 15:19:20,1351,3,3,45.14,1.4415,65.07,pos
50,2025-06-25 01:49:55,801,2,68,54.97,1.6312,89.67,web
51,2025-09-03 16:54:04,,6,7,52.19,0.4651,24.27,pos
52,2024-09-11 06:58:19,905,12,62,2.0,4.786,9.57,pos
53,2024-10-30 22:32:58,19,6,14,43.27,0.4852,20.99,pos
54,2025-10-25 11:51:16,345,1,13,34.56,1.5435,53.34,web
55,2024-07-01 07:00:26,1332,6,56,58.43,0.4591,26.83,pos
56,2024-02-22 19:20:40,,7,63,23.74,0.5585,13.26,pos
57,2025-08-06 02:52:08,1374,11,12,2.0,23.2844,46.57,pos
58,2025-03-03 12:47:51,912,6,2,14.24,0.4199,5.98,pos
59,2026-03-02 20:48:05,1202,10,62,2.0,25.7749,51.55,pos
60,2024-10-08 07:46:13,1321,12,56,2.0,4.5514,9.1,pos
61,2024-04-08 15:23:17,1101,3,52,59.71,1.3663,81.58,pos
62,2026-01-28 22:57:31,,10,69,3.0,26.2753,78.83,pos
63,2024-11-18 06:48:35,241,3,24,15.29,1.4675,22.44,pos
64,2024-03-01 19:21:46,,4,21,19.83,1.557,30.88,app
65,2024-05-11 10:30:05,1037,5,47,9.73,1.0422,10.14,web
66,2024-01-01 03:11:24,95,9,38,21.48,0.9416,20.23,pos
67,2025-05-01 03:06:05,722,10,69,3.0,23.8394,71.52,pos
68,2024-03-10 11:51:44,386,3,39,62.08,1.4126,87.69,pos
69,2024-12-01 14:33:13,569,3,55,19.09,1.422,27.15,pos
70,2024-09-10 16:59:15,171,5,55,9.52,1.0372,9.87,pos
71,2025-02-22 11:56:53,1428,11,25,3.0,21.5499,64.65,pos
72,2026-03-05 11:23:49,860,3,41,69.58,1.4643,101.89,pos
73,2025-01-19 11:22:57,,2,69,21.05,1.7031,35.85,pos
74,2024-05-18 05:11:49,684,5,19,8.95,1.0517,9.41,pos
75,2025-08-08 21:23:38,456,7,14,48.7,0.5169,25.17,pos
76,2025-04-21 04:59:44,1003,2,68,34.19,1.7095,58.45,pos
77,2025-02-25 01:37:27,99,3,41,67.06,1.4538,97.49,pos
78,2025-09-17 11:55:37,262,5,2,7.49,1.1375,8.52,pos
79,2024-08-09 15:07:42,548,1,48,53.91,1.4878,80.21,pos
80,2025-12-12 03:31:16,,6,60,34.12,0.4339,14.8,pos
81,2024-12-21 08:56:38,179,5,53,8.16,1.1608,9.47,pos
82,2024-04-29 03:19:48,192,3,8,19.65,1.4293,28.09,web
83,2024-01-17 14:43:35,869,11,66,3.0,20.7202,62.16,pos
84,2024-07-12 16:50:21,1263,4,1,54.28,1.6725,90.78,app
85,2025-01-14 09:24:51,1355,9,6,20.18,1.0206,20.6,pos
86,2026-03-24 06:06:23,359,2,47,61.17,1.6937,103.6,web
87,2025-10-18 16:13:42,350,6,15,25.57,0.4629,11.84,app
88,2024-07-02 02:20:26,990,5,34,3.7,1.1419,4.23,pos
89,2024-12-03 19:36:55,1317,9,5,28.39,1.0097,28.67,app
90,2024-03-30 07:38:00,1261,8,43,12.46,1.1246,14.01,pos
91,2024-10-16 04:27:44,19,2,56,42.06,1.5777,66.36,pos
92,2024-08-26 18:44:56,999,1,20,57.32,1.488,85.29,pos
93,2025-08-04 11:16:06,878,3,69,59.63,1.3873,82.72,pos
94,2025-11-13 12:24:18,,6,56,8.3,0.4776,3.96,app
95,2024-06-20 21:54:51,,1,18,36.7,1.6105,59.11,web
96,2024-09-06 00:52:59,982,11,35,1.0,21.7223,21.72,pos
97,2024-07-16 23:05:00,819,9,50,8.29,1.0196,8.45,app
98,2024-07-14 22:13:40,,9,2,24.18,0.9099,22.0,pos
99,2025-06-15 11:56:27,1223,12,2,2.0,4.4857,8.97,pos
100,2024-05-08 08:06:23,508,10,20,3.0,25.045,75.14,pos
101,2024-06-27 16:15:21,1436,4,55,25.91,1.6735,43.36,app
102,2026-02-19 08:22:00,387,10,20,1.0,23.4818,23.48,pos
103,2025-03-01 10:18:06,300,7,3,40.06,0.514,20.59,pos
104,2025-09-24 17:08:23,1434,11,30,1.0,21.4233,21.42,pos
105,2026-03-03 01:05:46,106,5,15,4.15,1.0614,4.4,pos
106,2025-10-11 10:56:09,98,3,6,15.03,1.518,22.82,pos
107,2025-03-19 05:23:15,1243,2,56,25.17,1.8112,45.59,pos
108,2025-04-17 19:14:24,,11,2,3.0,22.1822,66.55,app
109,2025-05-29 12:28:06,741,12,68,3.0,4.4075,13.22,pos
110,2024-11-22 06:36:32,179,2,17,49.63,1.7175,85.24,pos
111,2024-10-22 19:52:45,,8,13,6.87,1.2089,8.31,pos
112,2026-01-06 15:24:07,414,9,20,6.1,0.9031,5.51,pos
113,2025-01-27 06:49:59,1148,6,47,31.32,0.4656,14.58,web
114,2024-04-15 04:21:20,1073,9,3,9.17,0.9157,8.4,web
115,2025-03-25 23:10:18,,10,8,3.0,23.7608,71.28,app
116,2026-02-07 23:54:11,1052,2,22,39.08,1.6925,66.14,pos
117,2025-08-29 05:27:32,557,4,24,15.2,1.6386,24.91,pos
118,2024-01-14 18:22:26,1051,8,65,22.69,1.2048,27.34,pos
119,2024-12-08 06:44:01,550,9,16,9.28,0.8809,8.17,pos
120,2024-03-01 17:24:21,569,3,35,63.04,1.3738,86.6,web
121,2024-11-22 04:20:16,3,11,45,3.0,22.3702,67.11,pos
122,2024-05-09 07:38:29,1125,5,18,5.27,1.1196,5.9,pos
123,2024-03-29 22:56:07,22,6,29,45.98,0.4341,19.96,pos
124,2024-01-25 07:02:42,1195,2,49,67.01,1.6244,108.85,pos
125,2024-11-16 06:09:53,452,6,35,18.6,0.4593,8.54,app
126,2025-09-06 07:56:40,,4,56,35.28,1.7242,60.83,pos
127,2024-10-08 23:18:55,361,4,63,66.88,1.5372,102.81,pos
128,2025-04-26 19:36:40,,3,51,52.81,1.4061,74.26,pos
129,2025-10-24 09:09:32,1322,7,13,45.66,0.5181,23.66,app
130,2024-01-19 07:30:29,774,7,3,13.72,0.5072,6.96,app
131,2024-03-08 22:44:49,,2,35,22.84,1.7244,39.39,pos
132,2024-01-15 14:18:52,218,9,44,26.32,0.8869,23.34,pos
133,2025-11-21 05:40:52,630,6,62,16.03,0.418,6.7,pos
134,2024-07-10 04:35:16,,1,14,44.96,1.4514,65.25,app
135,2025-10-07 02:56:05,,4,4,27.47,1.5903,43.69,pos
136,2025-03-21 14:24:06,1402,7,15,33.57,0.5932,19.91,pos
137,2025-03-13 18:47:51,1261,6,16,26.75,0.4806,12.86,pos
138,2024-03-08 08:05:13,365,7,68,25.41,0.522,13.26,pos
139,2025-04-13 11:06:43,588,6,14,22.1,0.4499,9.94,pos
140,2025-02-16 06:51:55,1457,2,1,62.39,1.8193,113.51,app
141,2024-08-15 17:14:14,800,8,62,25.37,1.1257,28.56,pos
142,2025-03-08 14:20:35,,6,17,17.46,0.4417,7.71,pos
143,2025-10-20 09:36:17,848,10,43,1.0,26.2086,26.21,pos
144,2025-01-17 00:07:09,1126,8,69,18.34,1.2062,22.12,app
145,2025-08-20 11:56:36,,12,54,3.0,4.5561,13.67,pos
146,2024-12-06 17:21:49,482,6,1,18.57,0.4752,8.82,pos
147,2026-01-06 05:15:17,226,1,45,34.85,1.6366,57.04,app
148,2024-08-04 11:19:03,296,9,54,11.06,0.9998,11.06,pos
149,2024-08-02 01:36:19,,12,19,2.0,4.6678,9.34,pos
150,2025-10-21 18:17:22,1437,2,10,41.23,1.7154,70.73,pos
151,2024-08-16 04:19:55,162,4,10,15.69,1.7058,26.76,pos
152,2024-10-10 09:16:43,287,12,68,3.0,4.8231,14.47,pos
153,2025-06-08 00:50:04,1321,12,2,2.0,4.2201,8.44,pos
154,2024-02-19 21:29:13,356,9,21,5.27,1.0006,5.27,pos
155,2025-12-06 17:24:05,529,10,65,2.0,25.8374,51.67,pos
156,2024-08-31 13:57:05,189,9,49,29.45,0.893,26.3,pos
157,2024-03-27 23:42:46,377,12,72,3.0,4.746,14.24,app
158,2025-12-28 16:33:48,1337,11,52,2.0,20.8202,41.64,app
159,2025-10-21 00:08:18,,2,14,19.28,1.7179,33.12,app
160,2024-02-13 13:44:14,334,9,14,6.63,0.9648,6.4,app
161,2025-04-25 04:49:59,,4,5,28.22,1.5124,42.68,pos
162,2024-03-10 17:02:38,991,1,7,32.3,1.66,53.62,pos
163,2025-07-08 00:50:37,816,9,25,12.86,0.9334,12.0,pos
164,2024-07-20 04:44:22,200,6,53,54.62,0.4503,24.6,pos
165,2024-08-21 07:21:52,,7,62,38.49,0.581,22.36,pos
166,2024-08-23 09:44:20,162,11,12,3.0,21.0551,63.17,pos
167,2024-08-06 19:44:21,330,9,67,29.81,0.9665,28.81,pos
168,2025-06-14 08:53:04,269,6,38,26.74,0.4756,12.72,pos
169,2025-08-25 04:03:11,1251,10,10,1.0,25.2676,25.27,web
170,2024-05-31 07:33:37,293,5,71,8.94,1.1523,10.3,app
171,2026-02-14 00:47:50,,6,22,56.57,0.4256,24.08,pos
172,2025-07-18 09:51:34,146,3,59,29.19,1.4737,43.02,pos
173,2025-11-17 16:38:47,288,2,63,17.18,1.7871,30.7,pos
174,2024-07-19 08:52:51,1050,10,41,2.0,23.334,46.67,pos
175,2025-11-30 04:39:22,1398,1,8,55.76,1.4867,82.9,app
176,2024-01-13 08:08:04,,2,38,35.67,1.709,60.96,app
177,2024-12-12 11:57:17,947,11,12,2.0,21.8799,43.76,pos
178,2025-12-23 02:58:33,,3,14,65.46,1.58,103.43,app
179,2024-11-05 20:49:04,133,6,44,59.81,0.449,26.85,app
180,2026-01-09 18:44:55,,8,5,18.63,1.2861,23.96,pos
181,2024-11-27 14:44:37,65,10,49,1.0,26.7458,26.75,pos
182,2025-10-30 03:39:11,438,1,28,62.74,1.6623,104.29,pos
183,2025-02-23 04:40:00,361,2,19,18.81,1.6643,31.31,pos
184,2025-12-02 06:11:31,1075,4,34,25.12,1.5043,37.79,app
185,2025-10-27 16:54:59,609,3,26,34.21,1.4608,49.97,pos
186,2024-09-06 14:55:33,895,6,50,50.8,0.4544,23.08,app
187,2024-11-04 10:51:09,,11,19,2.0,22.5775,45.16,app
188,2025-05-06 16:32:43,,8,19,17.49,1.1648,20.37,app
189,2025-09-23 07:11:31,1480,1,58,66.88,1.6386,109.59,pos
190,2024-05-31 09:03:08,,12,25,2.0,4.6414,9.28,app
191,2025-08-09 12:19:45,430,4,2,35.36,1.5847,56.03,pos
192,2025-04-21 20:30:01,256,12,64,3.0,4.8593,14.58,pos
193,2025-06-30 09:24:24,1111,7,67,58.65,0.5356,31.41,web
194,2025-12-13 18:10:56,363,9,21,18.57,0.932,17.31,app
195,2025-11-10 14:56:46,1438,10,13,1.0,26.2238,26.22,pos
196,2024-01-26 12:25:26,843,2,64,56.25,1.7235,96.95,pos
197,2025-11-20 21:22:23,67,11,38,2.0,20.9858,41.97,app
198,2025-08-14 23:41:09,,8,16,13.77,1.2564,17.3,pos
199,2025-09-06 20:48:45,,6,29,34.39,0.4333,14.9,pos
200,2025-04-22 12:34:44,850,11,31,1.0,23.4087,23.41,pos
201,2024-01-25 03:00:10,,6,67,50.64,0.4572,23.15,pos
202,2025-10-30 00:17:45,802,4,51,60.57,1.6981,102.85,pos
203,2024-07-19 04:38:20,800,12,23,2.0,4.791,9.58,pos
204,2025-11-10 11:30:47,1455,3,65,21.51,1.4982,32.23,pos
205,2025-02-08 06:04:55,326,6,27,12.85,0.4158,5.34,pos
206,2024-08-25 18:03:57,,12,70,1.0,4.5517,4.55,pos
207,2024-07-21 19:10:57,1300,11,46,1.0,21.0838,21.08,app
208,2025-04-06 06:04:24,,4,49,57.37,1.6613,95.31,pos
209,2024-08-11 08:06:59,1308,10,14,1.0,24.8365,24.84,pos
210,2024-06-15 08:06:25,,5,24,2.74,1.099,3.01,pos
211,2024-11-19 01:46:30,1006,1,53,19.05,1.6639,31.7,pos
212,2025-10-14 07:16:19,643,11,58,1.0,20.8729,20.87,pos
213,2024-10-04 13:33:50,1293,10,5,1.0,26.9037,26.9,web
214,2026-01-21 17:30:33,1229,9,1,8.96,0.9867,8.84,web
215,2024-10-26 13:47:32,1098,1,67,43.15,1.4638,63.16,app
216,2024-06-27 07:37:25,61,6,18,19.43,0.4664,9.06,web
217,2025-02-19 16:29:53,409,2,45,53.94,1.7311,93.38,pos
218,2026-02-09 04:49:38,820,4,33,24.51,1.6685,40.89,app
219,2025-03-12 15:31:29,211,10,40,1.0,26.1764,26.18,web
220,2026-01-27 19:41:14,914,7,35,50.43,0.5608,28.28,pos
221,2025-10-28 21:56:52,,6,48,54.69,0.473,25.87,pos
222,2024-02-22 10:39:51,519,10,53,2.0,25.4155,50.83,app
223,2025-07-01 04:57:22,235,3,42,38.62,1.4056,54.28,pos
224,2024-11-30 06:38:49,762,3,41,21.73,1.437,31.23,pos
225,2025-05-25 21:08:22,1163,6,30,37.21,0.4418,16.44,pos
226,2026-03-30 01:45:56,1149,5,10,6.59,1.1257,7.42,pos
227,2025-11-07 01:38:22,656,4,26,17.73,1.6184,28.69,pos
228,2025-03-02 06:56:58,255,8,22,20.04,1.2175,24.4,pos
229,2024-02-03 00:57:16,1319,10,1,2.0,24.1375,48.27,app
230,2025-09-17 17:52:29,,9,68,5.98,0.972,5.81,pos
231,2024-05-27 18:19:25,851,12,39,2.0,4.3684,8.74,pos
232,2024-05-03 21:56:13,642,8,7,14.83,1.2377,18.36,pos
233,2024-07-07 14:36:09,1266,2,4,27.32,1.778,48.57,pos
234,2025-05-16 13:03:26,1484,7,29,16.85,0.5228,8.81,web
235,2025-07-27 00:49:32,1101,1,7,29.28,1.6207,47.45,pos
236,2025-04-17 16:45:25,,6,49,22.04,0.4263,9.4,pos
237,2025-12-16 15:54:30,,6,19,47.16,0.4779,22.54,web
238,2025-10-04 00:42:50,1369,2,67,44.02,1.7111,75.32,pos
239,2025-03-11 19:20:56,1497,8,29,7.29,1.2511,9.12,app
240,2025-07-02 09:09:19,497,11,27,3.0,20.5146,61.54,web
241,2024-04-03 14:54:50,1374,4,60,60.02,1.5391,92.38,pos
242,2024-11-20 03:27:46,1081,9,41,24.01,0.9214,22.12,pos
243,2024-08-27 05:29:45,217,3,29,65.42,1.4529,95.05,pos
244,2026-03-08 15:19:37,820,4,9,30.28,1.533,46.42,pos
245,2024-06-07 13:14:05,,2,15,28.23,1.7966,50.72,pos
246,2024-02-14 09:46:21,1088,8,46,11.64,1.282,14.92,pos
247,2025-11-01 06:30:11,813,9,56,17.7,0.8821,15.61,pos
248,2024-05-31 22:43:18,,7,55,18.08,0.5227,9.45,pos
249,2025-03-04 15:15:20,1011,9,56,7.73,0.8816,6.81,pos
250,2024-06-21 13:28:00,109,1,35,28.13,1.558,43.83,pos
251,2025-09-20 11:04:03,208,4,35,42.23,1.5347,64.81,pos
252,2025-03-23 09:08:25,590,12,1,1.0,4.2733,4.27,web
253,2026-01-10 14:50:19,1409,4,22,32.33,1.5084,48.77,pos
254,2025-12-08 03:41:40,,1,61,38.54,1.4312,55.16,web
255,2024-04-29 13:54:47,,1,46,68.32,1.5706,107.3,pos
256,2025-01-19 11:51:27,93,1,38,60.94,1.5563,94.84,pos
257,2024-08-15 17:00:31,205,5,43,5.62,1.1413,6.41,web
258,2025-02-03 18:18:44,520,6,59,8.71,0.4394,3.83,app
259,2026-03-15 10:08:27,1221,8,15,11.75,1.2037,14.14,pos
260,2024-08-17 18:07:33,452,11,19,2.0,21.9924,43.98,pos
261,2025-10-31 02:25:28,183,4,49,50.13,1.7406,87.26,app
262,2025-11-28 21:58:30,1080,3,34,65.07,1.4442,93.97,pos
263,2025-10-10 05:51:30,566,5,25,2.33,1.1035,2.57,pos
264,2024-07-10 00:19:41,932,10,45,2.0,23.4408,46.88,pos
265,2024-08-16 13:26:40,308,9,38,20.59,0.975,20.08,pos
266,2025-03-23 19:06:36,,5,2,5.63,1.0502,5.91,app
267,2024-07-10 18:01:08,,5,1,5.44,1.1282,6.14,pos
268,2025-01-25 14:07:08,,5,65,7.32,1.1473,8.4,pos
269,2024-05-13 14:26:29,293,12,26,2.0,4.5614,9.12,pos
270,2024-12-05 23:36:32,,6,32,50.21,0.4599,23.09,pos
271,2024-06-01 10:52:32,619,10,40,1.0,25.2556,25.26,pos
272,2025-05-15 22:55:19,286,11,26,2.0,20.7176,41.44,pos
273,2025-04-12 16:24:53,609,10,60,3.0,23.7335,71.2,app
274,2025-11-09 16:32:41,,9,57,22.35,0.9506,21.25,pos
275,2025-07-09 10:45:55,876,8,54,29.04,1.1926,34.63,web
276,2024-02-11 01:05:16,863,2,18,48.84,1.6366,79.93,pos
277,2026-03-06 16:27:12,1272,9,38,6.34,1.0025,6.36,pos
278,2024-01-10 05:56:17,1061,8,7,7.12,1.1559,8.23,web
279,2024-06-15 07:04:22,200,5,62,7.52,1.1641,8.75,pos
280,2026-03-04 12:46:56,109,12,27,3.0,4.2438,12.73,app
281,2026-02-08 10:17:45,,11,20,2.0,22.4514,44.9,app
282,2024-01-11 00:30:11,1278,12,26,1.0,4.1883,4.19,pos
283,2024-07-07 00:29:24,507,4,14,41.06,1.7062,70.06,pos
284,2024-03-27 10:54:00,615,7,62,59.1,0.5782,34.17,app
285,2025-02-08 07:37:32,1396,8,16,15.81,1.2261,19.38,pos
286,2025-01-08 21:16:17,,12,70,1.0,4.4828,4.48,pos
287,2024-06-04 09:00:14,1010,6,36,28.34,0.4642,13.16,pos
288,2025-10-09 15:01:36,304,1,37,40.14,1.5659,62.86,pos
289,2025-04-15 07:46:10,,11,57,1.0,23.4365,23.44,pos
290,2024-08-04 09:36:42,1481,8,36,5.23,1.1344,5.93,pos
291,2026-02-20 16:51:55,1447,9,50,17.83,0.9005,16.06,pos
292,2025-06-11 01:41:17,287,5,39,9.39,1.024,9.62,app
293,2026-01-21 11:18:29,967,10,24,3.0,25.834,77.5,pos
294,2026-03-27 05:35:45,1430,6,45,38.39,0.4738,18.19,pos
295,2024-02-15 20:39:14,326,4,13,51.59,1.6199,83.57,pos
296,2025-05-17 18:53:46,485,2,23,55.05,1.6587,91.31,web
297,2024-04-09 23:53:02,,5,15,2.3,1.144,2.63,pos
298,2025-08-04 11:44:23,61,3,42,20.92,1.468,30.71,pos
299,2024-11-06 06:38:21,,8,57,21.97,1.1473,25.21,app
300,2025-11-05 07:02:30,394,2,4,49.6,1.7356,86.09,pos
301,2024-08-06 08:33:11,737,7,70,52.95,0.536,28.38,pos
302,2026-03-31 11:01:37,425,10,61,3.0,24.4084,73.23,pos
303,2024-08-02 04:17:52,899,7,49,53.45,0.5561,29.72,pos
304,2026-03-14 12:21:39,242,8,30,6.29,1.2078,7.6,pos
305,2025-03-26 08:07:26,515,7,46,11.53,0.5827,6.72,web
306,2024-04-26 03:53:35,495,9,65,12.81,0.968,12.4,pos
307,2024-06-21 05:41:59,539,11,4,1.0,21.4299,21.43,pos
308,2025-06-03 16:36:05,122,3,27,45.09,1.5354,69.23,web
309,2024-04-06 19:46:30,150,10,5,2.0,26.9242,53.85,web
310,2024-05-05 04:44:34,981,3,35,54.78,1.3862,75.94,pos
311,2024-12-15 21:44:37,884,8,39,24.54,1.2723,31.22,pos
312,2024-03-26 23:50:30,,4,69,48.45,1.5887,76.97,pos
313,2024-01-29 02:37:31,107,7,49,44.16,0.5438,24.01,pos
314,2024-08-02 00:27:14,,2,48,34.35,1.6476,56.6,web
315,2025-01-04 23:37:44,1206,1,30,37.72,1.6126,60.83,app
316,2024-03-12 02:47:29,31,12,32,1.0,4.1952,4.2,pos
317,2024-10-07 13:00:46,644,6,32,59.9,0.4233,25.36,pos
318,2024-07-09 02:31:16,157,5,70,3.65,1.1361,4.15,app
319,2024-12-08 04:54:19,620,6,71,23.22,0.4611,10.71,pos
320,2025-02-19 14:26:13,1109,9,14,6.35,1.0109,6.42,app
321,2026-01-25 07:08:12,417,3,67,27.68,1.5373,42.55,pos
322,2025-08-01 11:42:17,291,1,31,53.41,1.5872,84.77,pos
323,2024-06-26 11:07:30,,1,35,30.29,1.5213,46.08,app
324,2024-05-11 06:08:18,,10,50,2.0,23.0754,46.15,pos
325,2025-11-20 18:15:20,,4,49,25.14,1.6021,40.28,pos
326,2025-04-19 00:44:41,,6,4,55.32,0.4683,25.91,pos
327,2025-02-11 19:55:47,1211,4,4,33.75,1.7053,57.55,pos
328,2025-10-26 04:11:20,117,2,71,36.35,1.7498,63.61,pos
329,2025-12-21 00:37:37,1473,10,67,2.0,23.6502,47.3,pos
330,2025-01-05 01:44:34,,1,36,58.98,1.6618,98.01,pos
331,2025-01-23 06:09:47,606,6,51,10.01,0.4337,4.34,pos
332,2025-01-24 03:48:42,1246,1,16,31.88,1.5899,50.69,app
333,2024-10-04 17:33:55,36,8,2,16.66,1.2895,21.48,pos
334,2024-12-04 09:45:25,1187,2,36,64.34,1.7039,109.63,web
335,2025-11-15 04:46:31,,5,34,8.95,1.0344,9.26,pos
336,2024-08-16 04:53:43,1344,1,30,21.29,1.4355,30.56,pos
337,2025-11-14 23:54:17,86,9,30,6.52,0.9826,6.41,pos
338,2025-02-03 22:14:53,,6,70,45.35,0.4572,20.73,pos
339,2024-04-30 08:37:54,232,9,10,10.92,0.9235,10.08,pos
340,2025-10-08 04:28:24,,7,37,15.44,0.5347,8.26,app
341,2025-06-04 09:10:30,1336,6,61,57.01,0.4352,24.81,pos
342,2025-07-26 03:17:26,,3,4,20.84,1.4117,29.42,pos
343,2026-02-28 10:24:29,1460,6,28,27.7,0.456,12.63,pos
344,2024-08-21 03:11:23,1330,2,10,67.72,1.8231,123.46,pos
345,2025-10-11 11:09:23,249,9,7,20.18,0.9742,19.66,pos
346,2025-05-07 08:21:20,1179,5,32,4.63,1.1526,5.34,web
347,2024-12-24 16:13:45,237,12,31,2.0,4.6676,9.34,app
348,2025-07-16 03:54:27,,9,65,6.91,0.9291,6.42,pos
349,2024-12-23 20:03:51,858,4,17,65.91,1.5539,102.42,web
350,2024-08-02 14:14:17,588,6,41,14.13,0.4434,6.27,pos
351,2024-08-18 12:41:59,1296,4,24,63.2,1.4944,94.45,pos
352,2025-02-13 03:22:24,1457,8,13,8.16,1.1105,9.06,pos
353,2024-09-16 07:48:41,272,9,68,27.97,1.0114,28.29,pos
354,2025-09-16 23:29:01,495,12,38,1.0,4.3825,4.38,app
355,2025-06-06 22:52:00,1263,2,6,19.06,1.8038,34.38,web
356,2025-09-27 03:57:16,893,5,62,7.6,1.1411,8.67,app
357,2026-03-02 06:50:19,,1,48,52.06,1.5385,80.09,pos
358,2024-10-01 12:41:00,1205,5,13,3.86,1.0988,4.24,pos
359,2026-03-15 04:25:16,1188,9,55,12.13,0.9324,11.31,app
360,2024-08-10 10:45:17,,12,27,2.0,4.5138,9.03,pos
361,2025-05-03 08:27:57,,5,22,2.95,1.0602,3.13,pos
362,2024-09-20 00:44:09,532,10,14,1.0,25.6657,25.67,pos
363,2024-11-17 07:40:12,1042,3,4,47.91,1.371,65.68,app
364,2024-10-30 03:04:23,,1,48,26.17,1.6596,43.43,pos
365,2025-11-22 00:15:57,930,5,15,7.73,1.1738,9.07,pos
366,2025-11-02 12:02:33,178,3,36,55.24,1.3892,76.74,pos
367,2024-05-02 19:50:03,456,12,10,2.0,4.2528,8.51,pos
368,2025-12-05 10:21:55,1051,11,10,3.0,22.6615,67.98,app
369,2024-02-29 14:02:48,1445,9,41,9.76,0.9588,9.36,app
370,2024-02-25 08:36:47,1285,1,32,22.53,1.5193,34.23,web
371,2024-10-30 23:24:57,311,8,24,23.34,1.1583,27.03,pos
372,2024-05-17 19:24:43,1482,12,28,1.0,4.4527,4.45,pos
373,2024-11-19 23:11:40,80,7,34,39.9,0.5615,22.4,pos
374,2025-06-25 16:37:08,1346,3,39,61.24,1.5688,96.07,pos
375,2026-01-31 12:47:59,804,10,46,3.0,24.9238,74.77,pos
376,2024-06-23 13:21:39,589,7,58,24.92,0.5643,14.06,pos
377,2025-12-22 22:36:40,1353,2,45,53.33,1.7454,93.08,app
378,2026-01-21 11:05:13,1002,10,53,3.0,23.9394,71.82,pos
379,2026-02-27 08:30:06,838,1,72,57.45,1.4909,85.65,pos
